20010	14879B	For
20010	14879A	For
19994	14954	Cet
20150	15110	Ari
20320	15197	Eri
21024	15201	Hyi
20395	15244	Eri
20766	15330	Ret
20315	15338	Per
20807	15371	Ret
20610	15382A	Eri
20610	15382B	Eri
20559	15383A	Cet
20559	15383B	Cet
20365	15404	Per
20418	15444	Per
20630	15457	Cet
20720	15474	Eri
20618	15514	Ari
19978	15547	Cep
20663	15557	Ari
20791	15619	Cet
20756	15627B	Ari
20756	15627A	Ari
20677	15648	Per
20825	15696	Ari
-	15737B	Ari
20893	15737A	Ari
21017	15861	Ari
20902	15863	Per
21050	15870	Ari
21120	15900	Tau
21423	15987	For
21364	16083A	Tau
-	16083B	Tau
21574	16112	For
-	16156B	For
21635	16156A	For
21467	16181A	Ari
21467	16181B	Ari
21428	16244B	Per
21428	16244A	Per
22001	16245	Ret
21686	16322	Tau
21552	16335	Per
21790	16341	Eri
21754	16369	Tau
21770	16499	Per
21933	16511	Tau
22049	16537	Eri
22203	16611	Eri
22091	16664A	Tau
22091	16664B	Tau
22470	16803A	Eri
-	16803B	Eri
22192	16826	Per
22484	16852	Tau
22374	16859	Tau
22789	17007	For
22713	17027	Eri
22796	17103	Tau
22920	17167	Eri
22805	17181	Tau
23227	17304	For
23016	17309	Tau
22951	17313	Per
22928	17358	Per
23249	17378	Eri
23183	17408	Tau
23817	17440	Ret
23180	17448A	Per
23180	17448B	Per
23363	17457	Eri
23288	17489	Tau
23302	17499	Tau
23413	17506	Eri
23324	17527	Tau
23230	17529	Per
23338	17531	Tau
23466	17563	Tau
23408	17573	Tau
23432	17579	Tau
23441	17588	Tau
23614	17593	Eri
23480	17608	Tau
23738	17618	For
23754	17651	Eri
24512	17678	Hyi
23629	-	Tau
23630	17702	Tau
23878	17717	Eri
23940	17738	For
23793	17771	Tau
23822	17832	Tau
23850	17847	Tau
23862	17851	Tau
23848	17886	Per
23401	17959	Cam
24263	18089B	Tau
24263	18089A	Tau
24371	18122	Eri
24388	18141	Eri
24587	18216	Eri
24398	18246	Per
24554	18255B	Eri
24555	18255A	Eri
24740	18471	Tau
24769	18485	Tau
24760	18532	Per
25025	18543	Eri
25422	18597	Ret
24912	18614	Per
25267	18673	Eri
25204	18724	Tau
25705	18744	Ret
25728	18772	Ret
25340	18788	Eri
25490	18907	Tau
